danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.788,0.576,1.0,-6.996,0.0,0.0327,0.0372,0.000211,0.0634,0.889,124.115,audio_features,2QN9zL3SzXdGqqmXO68gFp,spotify:track:2QN9zL3SzXdGqqmXO68gFp,https://api.spotify.com/v1/tracks/2QN9zL3SzXdGqqmXO68gFp,https://api.spotify.com/v1/audio-analysis/2QN9zL3SzXdGqqmXO68gFp,238787.0,4.0
0.505,0.812,1.0,-3.986,1.0,0.461,0.285,0.0,0.444,0.664,80.09,audio_features,3tFed7YsjGnIfxeLEQwx3R,spotify:track:3tFed7YsjGnIfxeLEQwx3R,https://api.spotify.com/v1/tracks/3tFed7YsjGnIfxeLEQwx3R,https://api.spotify.com/v1/audio-analysis/3tFed7YsjGnIfxeLEQwx3R,255916.0,4.0
0.38,0.784,1.0,-6.004,1.0,0.299,0.523,0.000139,0.494,0.418,82.318,audio_features,1YdtGoSYDvVQKoUqSDXX41,spotify:track:1YdtGoSYDvVQKoUqSDXX41,https://api.spotify.com/v1/tracks/1YdtGoSYDvVQKoUqSDXX41,https://api.spotify.com/v1/audio-analysis/1YdtGoSYDvVQKoUqSDXX41,284364.0,4.0
0.554,0.808,1.0,-4.169,1.0,0.0368,0.214,0.0,0.159,0.372,108.548,audio_features,7ne4VBA60CxGM75vw0EYad,spotify:track:7ne4VBA60CxGM75vw0EYad,https://api.spotify.com/v1/tracks/7ne4VBA60CxGM75vw0EYad,https://api.spotify.com/v1/audio-analysis/7ne4VBA60CxGM75vw0EYad,166300.0,4.0
0.661,0.878,1.0,-4.099,1.0,0.31,0.00289,0.0,0.381,0.514,82.557,audio_features,5RePVWy39tLpHH0WwXgBsK,spotify:track:5RePVWy39tLpHH0WwXgBsK,https://api.spotify.com/v1/tracks/5RePVWy39tLpHH0WwXgBsK,https://api.spotify.com/v1/audio-analysis/5RePVWy39tLpHH0WwXgBsK,165413.0,4.0
0.924,0.668,11.0,-6.795,1.0,0.0469,0.446,0.000594,0.0678,0.787,128.027,audio_features,6WatFBLVB0x077xWeoVc2k,spotify:track:6WatFBLVB0x077xWeoVc2k,https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k,https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k,195824.0,4.0
0.769,0.722,11.0,-5.485,0.0,0.0507,0.0584,2.56e-06,0.111,0.57,119.973,audio_features,1Es7AUAhQvapIcoh3qMKDL,spotify:track:1Es7AUAhQvapIcoh3qMKDL,https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL,https://api.spotify.com/v1/audio-analysis/1Es7AUAhQvapIcoh3qMKDL,256000.0,4.0
0.467,0.247,6.0,-12.002,0.0,0.0431,0.612,0.000271,0.17,0.126,148.101,audio_features,3QaPy1KgI7nu9FJEQUgn6h,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h,https://api.spotify.com/v1/audio-analysis/3QaPy1KgI7nu9FJEQUgn6h,261467.0,4.0
0.733,0.786,5.0,-3.951,0.0,0.112,0.128,0.0,0.31,0.672,109.954,audio_features,3yDRcs0Y4pPzkvMbUfeF9H,spotify:track:3yDRcs0Y4pPzkvMbUfeF9H,https://api.spotify.com/v1/tracks/3yDRcs0Y4pPzkvMbUfeF9H,https://api.spotify.com/v1/audio-analysis/3yDRcs0Y4pPzkvMbUfeF9H,155757.0,4.0
0.472,0.471,10.0,-5.692,1.0,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,3xkHsmpQCBMytMJNiDf3Ii,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,https://api.spotify.com/v1/tracks/3xkHsmpQCBMytMJNiDf3Ii,https://api.spotify.com/v1/audio-analysis/3xkHsmpQCBMytMJNiDf3Ii,180304.0,3.0
